#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date
"Paraburkholderia caribensis","Bacteria;Proteobacteria;Betaproteobacteria","DSM 13236","SAMN07573573","PRJNA400792","GCA_002902945.1","Complete",9.03249,62.5464,"chromosome 1:NZ_CP026101.1/CP026101.1; chromosome 2:NZ_CP026102.1/CP026102.1; chromosome 3:NZ_CP026103.1/CP026103.1; chromosome 4:NZ_CP026104.1/CP026104.1",,4,7745,"2018-01-29T00:00:00Z"
"Paraburkholderia hospita","Bacteria;Proteobacteria;Betaproteobacteria","DSM 17164","SAMN07573571","PRJNA400792","GCA_002902965.1","Complete",11.5277,61.8117,"chromosome 1:NZ_CP026105.1/CP026105.1; chromosome 2:NZ_CP026106.1/CP026106.1; chromosome 3:NZ_CP026107.1/CP026107.1; chromosome 4:NZ_CP026108.1/CP026108.1; chromosome 5:NZ_CP026109.1/CP026109.1; plasmid pEMT1:NZ_CP026110.1/CP026110.1",,6,9975,"2018-01-29T00:00:00Z"
"Caballeronia glathei","Bacteria;Proteobacteria;Betaproteobacteria","DSM 50014","SAMN02671720","PRJNA238428","GCA_000698595.1","Contig",8.63738,64.4,,"JFHC01",356,7570,"2014-06-05T00:00:00Z"
"Trinickia caryophylli","Bacteria;Proteobacteria;Betaproteobacteria","DSM 50341","SAMN12236666","PRJNA553498","GCA_007097545.1","Contig",6.65703,64.7,,"VJZF01",4,5587,"2019-07-17T00:00:00Z"
"Ralstonia pickettii DTP0602","Bacteria;Proteobacteria;Betaproteobacteria","DTP0602","SAMN02259197","PRJNA212545","GCA_000471925.1","Complete",8.12585,65.9066,"chromosome 1:CP006667.1; chromosome 2:CP006668.1; chromosome 3:CP006669.1",,3,7449,"2013-09-27T00:00:00Z"
"Burkholderia thailandensis E254","Bacteria;Proteobacteria;Betaproteobacteria","E254","SAMN03097424","PRJNA178705","GCA_000765375.1","Complete",6.67673,67.687,"chromosome 1:NZ_CP004381.1/CP004381.1; chromosome 2:NZ_CP004382.1/CP004382.1",,2,5555,"2014-10-10T00:00:00Z"
"Burkholderia thailandensis E264","Bacteria;Proteobacteria;Betaproteobacteria","E264","SAMN02866398","PRJNA244539","GCA_003568605.1","Complete",6.7221,67.6,"chromosome 1:NZ_CP008785.1/CP008785.1; chromosome 2:NZ_CP008786.1/CP008786.1",,2,5595,"2014-09-18T00:00:00Z"
"Burkholderia thailandensis E444","Bacteria;Proteobacteria;Betaproteobacteria","E444","SAMN03081450","PRJNA178702","GCA_000567945.1","Complete",6.6517,67.6859,"chromosome 1:NZ_CP004117.1/CP004117.1; chromosome 2:NZ_CP004118.1/CP004118.1",,2,5818,"2014-02-10T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","EP1","SAMN03837633","PRJNA288736","GCA_001891105.1","Complete",6.04297,66.7039,"chromosome:NZ_CP015115.1/CP015115.1; plasmid unnamed:NZ_CP015116.1/CP015116.1",,2,5146,"2016-12-08T00:00:00Z"
"Paraburkholderia fungorum","Bacteria;Proteobacteria;Betaproteobacteria","ES3-20","SAMN05433589","PRJNA331005","GCA_003610895.1","Contig",8.88336,61.9,,"MCAS01",69,7651,"2018-10-03T00:00:00Z"
"Paraburkholderia phenazinium","Bacteria;Proteobacteria;Betaproteobacteria","ES_FE-G6","SAMN09070687","PRJNA460331","GCA_003693345.1","Contig",9.0525,61.4,,"RDRU01",2,7804,"2018-10-29T00:00:00Z"
"Caballeronia sordidicola","Bacteria;Proteobacteria;Betaproteobacteria","ES_PA-B12","SAMN09070753","PRJNA460936","GCA_003945255.1","Contig",11.0932,60.1,,"RSET01",5,9637,"2018-12-13T00:00:00Z"
"Caballeronia sordidicola","Bacteria;Proteobacteria;Betaproteobacteria","ES_PA-C8","SAMN09070688","PRJNA460333","GCA_004339705.1","Contig",11.2526,60.2,,"SMMT01",5,9734,"2019-03-11T00:00:00Z"
"Paraburkholderia phenazinium","Bacteria;Proteobacteria;Betaproteobacteria","ES_PA-H8","SAMN09070613","PRJNA460329","GCA_003751885.1","Contig",8.57997,61.5,,"RJKH01",7,7356,"2018-11-15T00:00:00Z"
"Burkholderia gladioli pv. gladioli","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_188","SAMN05004743","PRJNA231221","GCA_003613595.1","Complete",8.89254,67.6185,"chromosome 1:NZ_CP022213.1/CP022213.1; chromosome 2:NZ_CP022210.1/CP022210.1; plasmid unnamed1:NZ_CP022209.1/CP022209.1; plasmid unnamed2:NZ_CP022211.1/CP022211.1; plasmid unnamed3:NZ_CP022212.1/CP022212.1",,5,7488,"2018-07-03T00:00:00Z"
"Burkholderia thailandensis","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_237","SAMN05004746","PRJNA231221","GCA_003020025.1","Complete",6.67281,67.6848,"chromosome 1:NZ_CP020390.1/CP020390.1; chromosome 2:NZ_CP020389.1/CP020389.1",,2,5928,"2018-03-27T00:00:00Z"
"Burkholderia thailandensis","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_241","SAMN05004750","PRJNA231221","GCA_003614815.1","Complete",6.68412,67.6643,"chromosome 1:NZ_CP022214.1/CP022214.1; chromosome 2:NZ_CP022215.1/CP022215.1",,2,5768,"2018-07-03T00:00:00Z"
"Burkholderia thailandensis","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_242","SAMN05004751","PRJNA231221","GCA_003614835.1","Complete",6.65331,67.6858,"chromosome 1:NZ_CP022217.1/CP022217.1; chromosome 2:NZ_CP022216.1/CP022216.1",,2,5820,"2018-07-03T00:00:00Z"
"Burkholderia gladioli pv. gladioli","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_389","SAMN07312433","PRJNA231221","GCA_002393425.1","Complete",8.28717,67.969,"chromosome 1:NZ_CP023522.1/CP023522.1; chromosome 2:NZ_CP023523.1/CP023523.1; plasmid unnamed:NZ_CP023524.1/CP023524.1",,3,7081,"2017-09-28T00:00:00Z"
"Ralstonia pickettii","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_410","SAMN07312454","PRJNA231221","GCA_002393485.1","Complete",4.81805,65.9077,"chromosome 1:NZ_CP023537.1/CP023537.1; chromosome 2:NZ_CP023538.1/CP023538.1",,2,4376,"2017-09-28T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_591","SAMN10228571","PRJNA231221","GCA_003852635.1"," Chromosome",7.3277,67.9902,"chromosome I:NZ_CM011864.1/CM011864.1","RKJT01",2,6943,"2018-11-19T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_592","SAMN10228572","PRJNA231221","GCA_003798265.1","Complete",7.14669,68.1635,"chromosome 1:NZ_CP033705.1/CP033705.1; chromosome 2:NZ_CP033706.1/CP033706.1",,2,6903,"2018-11-20T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_593","SAMN10228573","PRJNA231221","GCA_003798245.1","Complete",7.25552,68.1046,"chromosome 1:NZ_CP033703.1/CP033703.1; chromosome 2:NZ_CP033704.1/CP033704.1",,2,7011,"2018-11-20T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_594","SAMN10228574","PRJNA231221","GCA_003798365.1","Complete",7.18039,68.1212,"chromosome 1:NZ_CP033701.1/CP033701.1; chromosome 2:NZ_CP033702.1/CP033702.1",,2,6909,"2018-11-20T00:00:00Z"
"Ralstonia solanacearum FJAT-91","Bacteria;Proteobacteria;Betaproteobacteria","FJAT-91","SAMN02469793","PRJNA329188","GCA_002155245.1","Complete",5.87409,66.8681,"chromosome:NZ_CP016612.1/CP016612.1; plasmid unnamed1:NZ_CP016613.1/CP016613.1",,2,4967,"2017-05-22T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","FMH 23344","SAMN02945023","PRJNA244037","GCA_000755785.1","Complete",5.83554,68.5188,"chromosome 1:NZ_CP009148.1/CP009148.1; chromosome 2:NZ_CP009147.1/CP009147.1",,2,4877,"2014-09-18T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","FMH","SAMN03174435","PRJNA264186","GCA_002346045.1","Complete",5.83547,68.5188,"chromosome 1:NZ_CP009929.1/CP009929.1; chromosome 2:NZ_CP009930.1/CP009930.1",,2,5344,"2017-09-22T00:00:00Z"
"Ralstonia solanacearum FQY_4","Bacteria;Proteobacteria;Betaproteobacteria","FQY_4","SAMN02603298","PRJNA182081","GCA_000348545.1"," Chromosome",5.80525,66.792,"chromosome:NC_020799.1/CP004012.1; plasmid megaplasmid:NC_021745.1/CP004013.1",,2,4995,"2013-03-22T00:00:00Z"
"Paraburkholderia phenazinium","Bacteria;Proteobacteria;Betaproteobacteria","GAS86","SAMN05444168","PRJEB18285","GCA_900141745.1","Contig",8.31947,61.4,,"FSRM01",2,7167,"2016-12-14T00:00:00Z"
"Burkholderia mallei ATCC 23344","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 23344","SAMN02603987","PRJNA171","GCA_000011705.1","Complete",5.83553,68.5188,"chromosome 1:NC_006348.1/CP000010.1; chromosome 2:NC_006349.2/CP000011.2",,2,4929,"2004-09-22T00:00:00Z"
"Burkholderia pseudomallei 1710b","Bacteria;Proteobacteria;Betaproteobacteria","1710b","SAMN02604036","PRJNA13954","GCA_000012785.1","Complete",7.30805,67.9918,"chromosome I:NC_007434.1/CP000124.1; chromosome II:NC_007435.1/CP000125.1",,2,6462,"2005-09-30T00:00:00Z"
"Burkholderia mallei SAVP1","Bacteria;Proteobacteria;Betaproteobacteria","SAVP1","SAMN02604034","PRJNA13947","GCA_000015465.1","Complete",5.2324,68.3653,"chromosome I:NC_008785.1/CP000526.1; chromosome II:NC_008784.1/CP000525.1",,2,4783,"2007-01-05T00:00:00Z"
"Burkholderia glumae BGR1","Bacteria;Proteobacteria;Betaproteobacteria","BGR1","SAMN02603166","PRJNA33901","GCA_000022645.2","Complete",7.28464,67.9346,"chromosome 1:NC_012724.2/CP001503.2; chromosome 2:NC_012721.2/CP001504.2; plasmid bglu_1p:NC_012723.1/CP001505.1; plasmid bglu_2p:NC_012718.1/CP001506.1; plasmid bglu_3p:NC_012720.2/CP001507.2; plasmid bglu_4p:NC_012725.2/CP001508.2",,6,6202,"2009-05-22T00:00:00Z"
"Burkholderia pseudomallei Pasteur 52237","Bacteria;Proteobacteria;Betaproteobacteria","Pasteur 52237","SAMN02849712","PRJNA244405","GCA_000757035.2","Complete",7.32532,68.0043,"chromosome 1:NZ_CP009899.1/CP009899.1; chromosome 2:NZ_CP009898.1/CP009898.1",,2,6183,"2015-03-20T00:00:00Z"
"Burkholderia pseudomallei MSHR2543","Bacteria;Proteobacteria;Betaproteobacteria","MSHR2543","SAMN03074056","PRJNA238257","GCA_000959225.1","Complete",7.44657,67.9014,"chromosome I:NZ_CP009478.1/CP009478.1; chromosome II:NZ_CP009477.1/CP009477.1",,2,6378,"2015-03-20T00:00:00Z"
"Burkholderia pseudomallei PB08298010","Bacteria;Proteobacteria;Betaproteobacteria","PB08298010","SAMN03023795","PRJNA238269","GCA_000959345.1","Complete",7.37555,67.946,"chromosome I:NZ_CP009551.1/CP009551.1; chromosome II:NZ_CP009550.1/CP009550.1",,2,6167,"2015-03-20T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","M1","SAMN04966266","PRJNA321146","GCA_001695715.1","Complete",7.31808,67.978,"chromosome 1:NZ_CP016638.1/CP016638.1; chromosome 2:NZ_CP016639.1/CP016639.1",,2,6413,"2016-07-28T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2011756295","SAMN06007566","PRJNA352974","GCA_002110965.1","Complete",7.49832,67.8056,"chromosome 1:NZ_CP018391.1/CP018391.1; chromosome 2:NZ_CP018392.1/CP018392.1",,2,6309,"2017-04-26T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2013833055","SAMN06007573","PRJNA352974","GCA_002111025.1","Complete",7.34383,67.9224,"chromosome 1:NZ_CP018406.1/CP018406.1; chromosome 2:NZ_CP018407.1/CP018407.1",,2,7014,"2017-04-26T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2002734728","SAMN06007559","PRJNA352974","GCA_002111105.1","Complete",7.2345,68.069,"chromosome 1:NZ_CP018418.1/CP018418.1; chromosome 2:NZ_CP018419.1/CP018419.1",,2,6391,"2017-04-26T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","3000015486","SAMN06007577","PRJNA352974","GCA_002111385.1","Complete",7.44767,67.9073,"chromosome 1:NZ_CP018412.1/CP018412.1; chromosome 2:NZ_CP018413.1/CP018413.1",,2,7133,"2017-04-26T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","Turkey5","SAMN03121652","PRJNA264186","GCA_002346105.1","Complete",5.69826,68.4069,"chromosome 1:NZ_CP009733.1/CP009733.1; chromosome 2:NZ_CP009734.1/CP009734.1",,2,4845,"2017-09-22T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","Turkey6","SAMN03121653","PRJNA264186","GCA_002346125.1","Complete",5.74782,68.4118,"chromosome 1:NZ_CP009735.1/CP009735.1; chromosome 2:NZ_CP009736.1/CP009736.1",,2,4856,"2017-09-22T00:00:00Z"
"Trinickia caryophylli","Bacteria;Proteobacteria;Betaproteobacteria","Ballard 720","SAMN08277009","PRJNA427926","GCA_002879875.1","Contig",6.58085,64.6,,"PNXZ01",158,5626,"2018-01-14T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","BPHN1","SAMN07638450","PRJNA407094","GCA_003606245.1","Complete",7.29363,68.0765,"chromosome 1:NZ_CP023775.1/CP023775.1; chromosome 2:NZ_CP023776.1/CP023776.1",,2,6182,"2018-10-01T00:00:00Z"
"Trinickia caryophylli","Bacteria;Proteobacteria;Betaproteobacteria","DSM 50341","SAMN12236666","PRJNA553498","GCA_007097545.1","Contig",6.65703,64.7,,"VJZF01",4,5587,"2019-07-17T00:00:00Z"
"Burkholderia plantarii","Bacteria;Proteobacteria;Betaproteobacteria","cluster_DBSCAN_round6_14","SAMN12995596","PRJNA531449","GCA_009914595.1","Contig",1.69353,66.9,,"WNEA01",130,1530,"2020-01-22T00:00:00Z"
"Ralstonia solanacearum GMI1000","Bacteria;Proteobacteria;Betaproteobacteria","GMI1000","SAMEA3138192","PRJNA13","GCA_000009125.1","Complete",5.81092,66.964,"chromosome:NC_003295.1/AL646052.1; plasmid pGMI1000MP:NC_003296.1/AL646053.1",,2,4921,"2001-12-07T00:00:00Z"
"Burkholderia glumae","Bacteria;Proteobacteria;Betaproteobacteria","GX","SAMN13005961","PRJNA576729","GCA_009578005.1","Complete",6.86615,68.1183,"chromosome 1:NZ_CP045087.1/CP045087.1; chromosome 2:NZ_CP045088.1/CP045088.1; plasmid pWSGX1:NZ_CP045089.1/CP045089.1; plasmid pWSGX2:NZ_CP045090.1/CP045090.1; plasmid pWSGX3:NZ_CP045091.1/CP045091.1",,5,5642,"2019-11-05T00:00:00Z"
"Burkholderia thailandensis H0587","Bacteria;Proteobacteria;Betaproteobacteria","H0587","SAMN03081448","PRJNA178703","GCA_000567905.1","Complete",6.76837,67.7476,"chromosome 1:NZ_CP004089.1/CP004089.1; chromosome 2:NZ_CP004090.1/CP004090.1",,2,5672,"2014-02-10T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","H10","SAMN08120383","PRJNA420807","GCA_003546995.3"," Chromosome",7.28744,68.1064,"chromosome 1:NZ_CP025300.3/CP025300.3; chromosome 2:NZ_CP025301.3/CP025301.3",,2,6109,"2018-09-12T00:00:00Z"
"Burkholderia pseudomallei HBPUB10134a","Bacteria;Proteobacteria;Betaproteobacteria","HBPUB10134a","SAMN02902608","PRJNA244525","GCA_000755925.1","Complete",7.2184,68.1217,"chromosome 1:NZ_CP008911.1/CP008911.1; chromosome 2:NZ_CP008912.1/CP008912.1",,2,6048,"2014-09-18T00:00:00Z"
"Burkholderia pseudomallei HBPUB10303a","Bacteria;Proteobacteria;Betaproteobacteria","HBPUB10303a","SAMN02902612","PRJNA244524","GCA_000755905.1","Complete",7.17818,68.178,"chromosome 1:NZ_CP008894.1/CP008894.1; chromosome 2:NZ_CP008893.1/CP008893.1",,2,6022,"2014-09-18T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","IBSBF 2570","SAMN08378625","PRJNA430795","GCA_003590585.1","Complete",5.43107,66.6718,"chromosome:NZ_CP026090.1/CP026090.1; plasmid unnamed:NZ_CP026091.1/CP026091.1",,2,4574,"2018-09-24T00:00:00Z"
"Robbsia andropogonis","Bacteria;Proteobacteria;Betaproteobacteria","ICMP2807","SAMN03450203","PRJNA279601","GCA_000970345.1","Contig",6.20381,58.9,,"LAQU01",272,5050,"2015-04-07T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","InDRE_2Son2018","SAMN12047222","PRJNA550439","GCA_006542585.1"," Chromosome",7.31984,67.5783,"chromosome 1:NZ_CP041220.1/CP041220.1; chromosome 2:NZ_CP041221.1/CP041221.1",,2,6636,"2019-07-02T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","India86-567-2","SAMN03107083","PRJNA238813","GCA_000959465.1","Complete",5.68645,68.4243,"chromosome I:NZ_CP009642.1/CP009642.1; chromosome II:NZ_CP009643.1/CP009643.1",,2,4827,"2015-03-20T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","JHU","SAMN03174429","PRJNA264186","GCA_002346205.1","Complete",5.73659,68.4717,"chromosome 1:NZ_CP009931.1/CP009931.1; chromosome 2:NZ_CP009932.1/CP009932.1",,2,5301,"2017-09-22T00:00:00Z"
"Burkholderia pseudomallei K42","Bacteria;Proteobacteria;Betaproteobacteria","K42","SAMN02951646","PRJNA231207","GCA_000770515.1","Complete",7.29646,67.9824,"chromosome 1:NZ_CP009162.1/CP009162.1; chromosome 2:NZ_CP009163.1/CP009163.1",,2,6111,"2014-10-31T00:00:00Z"
"Burkholderia pseudomallei K96243","Bacteria;Proteobacteria;Betaproteobacteria","K96243","SAMEA1705938","PRJNA178","GCA_000011545.1","Complete",7.24755,68.0502,"chromosome 1:NC_006350.1/BX571965.1; chromosome 2:NC_006351.1/BX571966.1",,2,6191,"2004-09-16T00:00:00Z"
"Burkholderia pseudomallei K96243","Bacteria;Proteobacteria;Betaproteobacteria","K96243","SAMN03075610","PRJNA235893","GCA_000959285.1","Complete",7.24761,68.0502,"chromosome I:NZ_CP009538.1/CP009538.1; chromosome II:NZ_CP009537.1/CP009537.1",,2,6153,"2015-03-20T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","KACC10709","SAMN04539710","PRJNA314721","GCA_001708525.1","Complete",5.60824,67.0383,"chromosome:NZ_CP016904.1/CP016904.1; plasmid unnamed1:NZ_CP016905.1/CP016905.1",,2,4727,"2016-08-23T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","KACC 10722","SAMN04538211","PRJNA314571","GCA_001586135.1","Complete",5.46326,66.4311,"chromosome:NZ_CP014702.1/CP014702.1; plasmid unnamed:NZ_CP014703.1/CP014703.1",,2,4658,"2016-03-10T00:00:00Z"
"Burkholderia gladioli pv. gladioli","Bacteria;Proteobacteria;Betaproteobacteria","KACC 11889","SAMN07253176","PRJNA390908","GCA_002208175.1","Complete",8.85484,67.6539,"chromosome 1:NZ_CP022005.1/CP022005.1; chromosome 2:NZ_CP022006.1/CP022006.1; plasmid pls1:NZ_CP022007.1/CP022007.1; plasmid pls2:NZ_CP022008.1/CP022008.1; plasmid pls3:NZ_CP022009.1/CP022009.1",,5,7345,"2017-06-26T00:00:00Z"
"Paraburkholderia terricola","Bacteria;Proteobacteria;Betaproteobacteria","LMG 20594","SAMN05192548","PRJEB18329","GCA_900142195.1","Scaffold",7.3214,63.6,,"FRAB01",114,6430,"2016-12-02T00:00:00Z"
"Paraburkholderia hospita","Bacteria;Proteobacteria;Betaproteobacteria","LMG 20598","SAMN05192544","PRJEB15779","GCA_900108355.1","Scaffold",11.2005,61.9,,"FNXA01",188,9830,"2016-10-27T00:00:00Z"
"Caballeronia sordidicola","Bacteria;Proteobacteria;Betaproteobacteria","LMG 22029","SAMEA3731251","PRJEB12475","GCA_001544455.2","Contig",6.87451,60.1,,"FCOC02",72,6002,"2016-01-28T00:00:00Z"
"Paraburkholderia phenazinium","Bacteria;Proteobacteria;Betaproteobacteria","LMG 2247","SAMN05216466","PRJEB15886","GCA_900100735.1","Scaffold",8.59789,62.3,,"FNCJ01",52,7518,"2016-10-20T00:00:00Z"
"Burkholderia pseudomallei MSHR1153","Bacteria;Proteobacteria;Betaproteobacteria","MSHR1153","SAMN03008919","PRJNA231860","GCA_000770435.1"," Chromosome",7.3129,68.0346,"chromosome 1:NZ_CP009271.1/CP009271.1; chromosome 2:NZ_CP009272.1/CP009272.1",,2,6386,"2014-10-31T00:00:00Z"
"Burkholderia pseudomallei MSHR1328","Bacteria;Proteobacteria;Betaproteobacteria","MSHR1328","SAMN03455786","PRJNA178669","GCA_000970935.1"," Chromosome",7.15449,68.1111,"chromosome I:NZ_CM003196.1/CM003196.1; chromosome II:NZ_CM003197.1/CM003197.1","APNR01",2,12155,"2015-04-08T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","MSHR1435","SAMN06473485","PRJNA321854","GCA_002843645.1","Complete",7.27833,68.0791,"chromosome 1:NZ_CP025264.1/CP025264.1; chromosome 2:NZ_CP025265.1/CP025265.1",,2,6453,"2017-12-17T00:00:00Z"
"Burkholderia pseudomallei MSHR146","Bacteria;Proteobacteria;Betaproteobacteria","MSHR146","SAMN02641522","PRJNA178671","GCA_000521645.1","Complete",7.3131,68.0219,"chromosome I:NZ_CP004042.1/CP004042.1; chromosome II:NZ_CP004043.1/CP004043.1",,2,6466,"2014-01-22T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","MSHR1655","SAMN02866334","PRJNA244409","GCA_000756165.1","Complete",7.02795,67.9856,"chromosome 1:NZ_CP008780.1/CP008780.1; chromosome 2:NZ_CP008779.1/CP008779.1",,2,5934,"2014-09-18T00:00:00Z"
"Burkholderia pseudomallei MSHR2243","Bacteria;Proteobacteria;Betaproteobacteria","MSHR2243","SAMN03004264","PRJNA231528","GCA_000770415.1"," Chromosome",7.14519,68.2343,"chromosome 1:NZ_CP009270.1/CP009270.1; chromosome 2:NZ_CP009269.1/CP009269.1",,2,6304,"2014-10-31T00:00:00Z"
"Burkholderia pseudomallei MSHR2543","Bacteria;Proteobacteria;Betaproteobacteria","MSHR2543","SAMN03074056","PRJNA238257","GCA_000959225.1","Complete",7.44657,67.9014,"chromosome I:NZ_CP009478.1/CP009478.1; chromosome II:NZ_CP009477.1/CP009477.1",,2,6378,"2015-03-20T00:00:00Z"
"Burkholderia pseudomallei MSHR305","Bacteria;Proteobacteria;Betaproteobacteria","MSHR305","SAMN02603568","PRJNA203336","GCA_000439695.1","Complete",7.42807,67.8908,"chromosome 1:NC_021877.1/CP006469.1; chromosome 2:NC_021884.1/CP006470.1",,2,7106,"2013-07-24T00:00:00Z"
"Burkholderia pseudomallei MSHR346","Bacteria;Proteobacteria;Betaproteobacteria","MSHR346","SAMN02470263","PRJNA29855","GCA_000182585.2"," Chromosome",7.34894,67.8769,"chromosome I:NC_012695.1/CP001408.1","ACOJ01",2,7042,"2009-05-12T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","MSHR346","SAMN02866335","PRJNA244414","GCA_000756105.1"," Chromosome",7.35442,67.8771,"chromosome:NZ_CP008764.1/CP008764.1; chromosome 2:NZ_CP008763.1/CP008763.1",,2,6198,"2014-09-18T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","MSHR3763","SAMN04226303","PRJNA339871","GCA_001975145.1","Complete",7.43698,67.8909,"chromosome 1:NZ_CP017052.1/CP017052.1; chromosome 2:NZ_CP017053.1/CP017053.1",,2,6565,"2017-01-30T00:00:00Z"
"Burkholderia pseudomallei MSHR3965","Bacteria;Proteobacteria;Betaproteobacteria","MSHR3965","SAMN02951657","PRJNA231179","GCA_000770475.1"," Chromosome",7.28074,68.0455,"chromosome 1:NZ_CP009153.1/CP009153.1; chromosome 2:NZ_CP009152.1/CP009152.1",,2,6128,"2014-10-31T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","MSHR4083","SAMN04226311","PRJNA339871","GCA_001975125.1","Complete",7.43706,67.8909,"chromosome 1:NZ_CP017050.1/CP017050.1; chromosome 2:NZ_CP017051.1/CP017051.1",,2,6219,"2017-01-30T00:00:00Z"
"Burkholderia pseudomallei MSHR435","Bacteria;Proteobacteria;Betaproteobacteria","MSHR435","SAMN02999478","PRJNA231480","GCA_000775165.1"," Chromosome",7.13324,67.9924,"chromosome 1:NZ_CM003019.1/CM003019.1; chromosome 2:NZ_CM003020.1/CM003020.1","JRFP01",2,12819,"2014-11-11T00:00:00Z"
"Burkholderia pseudomallei MSHR491","Bacteria;Proteobacteria;Betaproteobacteria","MSHR491","SAMN02768252","PRJNA238260","GCA_000959205.1","Complete",7.35638,67.9777,"chromosome I:NZ_CP009485.1/CP009485.1; chromosome II:NZ_CP009484.1/CP009484.1",,2,6241,"2015-03-20T00:00:00Z"
"Burkholderia pseudomallei MSHR511","Bacteria;Proteobacteria;Betaproteobacteria","MSHR511","SAMN02641523","PRJNA178674","GCA_000520895.1","Complete",7.31609,68.022,"chromosome I:NZ_CP004023.1/CP004023.1; chromosome II:NZ_CP004024.1/CP004024.1",,2,6459,"2014-01-16T00:00:00Z"
"Burkholderia pseudomallei MSHR520","Bacteria;Proteobacteria;Betaproteobacteria","MSHR520","SAMN03081457","PRJNA178699","GCA_000583835.1","Complete",7.45051,67.891,"chromosome I:NZ_CP004368.1/CP004368.1; chromosome II:NZ_CP004369.1/CP004369.1",,2,6217,"2014-03-03T00:00:00Z"
"Burkholderia pseudomallei MSHR5848","Bacteria;Proteobacteria;Betaproteobacteria","MSHR5848","SAMN02902465","PRJNA244424","GCA_000755965.1","Complete",7.29043,68.0776,"chromosome 1:NZ_CP008909.1/CP008909.1; chromosome 2:NZ_CP008910.1/CP008910.1",,2,6122,"2014-09-18T00:00:00Z"
"Burkholderia pseudomallei MSHR5855","Bacteria;Proteobacteria;Betaproteobacteria","MSHR5855","SAMN02866394","PRJNA244422","GCA_000756065.1","Complete",7.2978,68.0218,"chromosome 1:NZ_CP008784.1/CP008784.1; chromosome 2:NZ_CP008783.1/CP008783.1",,2,6125,"2014-09-18T00:00:00Z"
"Burkholderia pseudomallei MSHR5858","Bacteria;Proteobacteria;Betaproteobacteria","MSHR5858","SAMN02902606","PRJNA244526","GCA_000755945.1","Complete",7.07213,68.278,"chromosome 1:NZ_CP008891.1/CP008891.1; chromosome 2:NZ_CP008892.1/CP008892.1",,2,5942,"2014-09-18T00:00:00Z"
